model,var,layer,kind,value
alexnet,0,pool1,average,0.302767696843
alexnet,0,pool1,100ms,0.336907765695
alexnet,0,pool1,200ms,0.232199821342
alexnet,0,pool2,average,0.290638493267
alexnet,0,pool2,100ms,0.330846408673
alexnet,0,pool2,200ms,0.218466597342
alexnet,0,conv3,average,0.275463616309
alexnet,0,conv3,100ms,0.342944854154
alexnet,0,conv3,200ms,0.192727140662
alexnet,0,conv4,average,0.275743447021
alexnet,0,conv4,100ms,0.331973055078
alexnet,0,conv4,200ms,0.178898791758
alexnet,0,pool5,average,0.282938662204
alexnet,0,pool5,100ms,0.310189832649
alexnet,0,pool5,200ms,0.14814553596
alexnet,0,fc6,average,0.274954475095
alexnet,0,fc6,100ms,0.331780582675
alexnet,0,fc6,200ms,0.181890487584
alexnet,0,fc7,average,0.260124900738
alexnet,0,fc7,100ms,0.321277859288
alexnet,0,fc7,200ms,0.152814271363
alexnet,0,fc8,average,0.254792653059
alexnet,0,fc8,100ms,0.287617570328
alexnet,0,fc8,200ms,0.134313144592
alexnet,3,pool1,average,0.170807739619
alexnet,3,pool1,100ms,0.199400592994
alexnet,3,pool1,200ms,0.120052310931
alexnet,3,pool2,average,0.25456887304
alexnet,3,pool2,100ms,0.282931533265
alexnet,3,pool2,200ms,0.143502290759
alexnet,3,conv3,average,0.233591901782
alexnet,3,conv3,100ms,0.260919923599
alexnet,3,conv3,200ms,0.137508050941
alexnet,3,conv4,average,0.233486271928
alexnet,3,conv4,100ms,0.263443437428
alexnet,3,conv4,200ms,0.134428457199
alexnet,3,pool5,average,0.253835841648
alexnet,3,pool5,100ms,0.294200958798
alexnet,3,pool5,200ms,0.116150643496
alexnet,3,fc6,average,0.249552337102
alexnet,3,fc6,100ms,0.279509310553
alexnet,3,fc6,200ms,0.105471176172
alexnet,3,fc7,average,0.223734205158
alexnet,3,fc7,100ms,0.2606106488
alexnet,3,fc7,200ms,0.0864323996465
alexnet,3,fc8,average,0.215812565078
alexnet,3,fc8,100ms,0.252847628834
alexnet,3,fc8,200ms,0.108857828357
alexnet,6,pool1,average,0.186582171758
alexnet,6,pool1,100ms,0.211906649918
alexnet,6,pool1,200ms,0.108107764664
alexnet,6,pool2,average,0.241821236629
alexnet,6,pool2,100ms,0.28124234573
alexnet,6,pool2,200ms,0.141790373455
alexnet,6,conv3,average,0.245505989134
alexnet,6,conv3,100ms,0.277869365244
alexnet,6,conv3,200ms,0.150046018582
alexnet,6,conv4,average,0.246172503742
alexnet,6,conv4,100ms,0.287957391524
alexnet,6,conv4,200ms,0.136031871921
alexnet,6,pool5,average,0.276809354791
alexnet,6,pool5,100ms,0.321116840056
alexnet,6,pool5,200ms,0.146488246642
